date,daily_sales,rolling_mean_7d,rolling_std_7d,anomaly
2019-01-01,6125.18,6125.18,0.0,False
2019-01-02,1110.47,3617.8250000000003,3545.9354466839923,False
2019-01-03,0.0,2411.8833333333337,3263.3901094158714,False
2019-01-04,4774.089999999999,3002.435,2914.586606736308,False
2019-01-05,4061.67,3214.282,2568.1719321669257,False
2019-01-06,0.0,2678.568333333333,2645.4376678456565,False
2019-01-07,3767.95,2834.194285714286,2449.7931418989724,False
2019-01-08,773.72,2069.7,2054.7800104796293,False
2019-01-09,3878.54,2465.1385714285716,2105.148595510766,False
2019-01-10,2155.59,2773.0800000000004,1823.2306643611132,False
2019-01-11,3879.1400000000003,2645.23,1685.7208487172484,False
2019-01-12,0.0,2064.9914285714285,1811.267077659804,False
2019-01-13,3148.63,2514.7957142857144,1590.489769692103,False
2019-01-14,5741.35,2796.71,1977.450947069653,False
2019-01-15,325.11,2732.622857142858,2059.508087511144,False
2019-01-16,129.65,2197.067142857143,2194.844091279335,False
2019-01-17,1916.3,2162.8828571428576,2197.459646483596,False
2019-01-18,3549.69,2115.8185714285714,2157.7443287565266,False
2019-01-19,4756.97,2795.3857142857146,2129.220344772996,False
2019-01-20,813.7,2461.824285714286,2244.434962968461,False
2019-01-21,6218.18,2529.9428571428575,2364.5777699603104,False
2019-01-22,847.08,2604.5099999999998,2290.53071861814,False
2019-01-23,1520.0100000000002,2803.132857142857,2091.8188573720104,False
2019-01-24,11879.98,4226.515714285714,3951.2611283102046,False
2019-01-25,5302.72,4476.948571428572,3956.7641099364196,False
2019-01-26,264.0,3835.0957142857146,4256.810060823546,False
2019-01-27,2173.28,4029.3214285714284,4124.95101734323,False
2019-01-28,8099.41,4298.068571428571,4346.651380064231,False
2019-01-29,6962.43,5171.6900000000005,4147.4343116678765,False
2019-01-30,2061.26,5249.011428571429,4072.3749409258653,False
2019-01-31,3866.52,4104.231428571428,2836.468331478592,False
2019-02-01,3642.13,3867.0042857142857,2788.564189272902,False
2019-02-02,3324.21,4304.177142857143,2332.0837045706153,False
2019-02-03,6256.78,4887.534285714285,2218.1630095708847,False
2019-02-04,3616.73,4247.151428571428,1729.6266131107452,False
2019-02-05,7056.8,4260.632857142858,1754.5067899907954,False
2019-02-06,182.5,3992.238571428571,2227.084890025737,False
2019-02-07,868.4,3563.9357142857148,2523.816605308034,False
2019-02-08,4973.09,3754.0728571428576,2580.195020611906,False
2019-02-09,275.93,3318.6042857142857,2902.0022854393546,False
2019-02-10,833.2900000000001,2543.8199999999997,2704.058040957455,False
2019-02-11,6846.53,3005.2200000000003,3155.511767505656,False
2019-02-12,5830.16,2829.9857142857145,2918.1490484029837,False
2019-02-13,1301.31,2989.815714285714,2776.1607975155016,False
2019-02-14,1680.6,3105.844285714285,2688.302295438871,False
2019-02-15,5996.24,3252.0085714285715,2830.7845858432283,False
2019-02-16,5027.86,3930.8557142857144,2554.4346653800394,False
2019-02-17,0.0,3811.8142857142857,2735.8221195334622,False
2019-02-18,2931.2,3252.481428571428,2390.409496177231,False
2019-02-19,2159.52,2728.1042857142857,2117.7694046477072,False
2019-02-20,3087.47,2983.27,2022.6763828403195,False
2019-02-21,0.0,2743.184285714286,2285.7085411592993,False
2019-02-22,4321.16,2503.887142857143,1951.6478177573804,False
2019-02-23,655.58,1879.275714285714,1691.567295004422,False
2019-02-24,1195.45,2050.054285714286,1522.0700068859871,False
2019-02-25,622.92,1720.3,1549.156324810381,False
2019-02-26,8436.86,2617.0628571428574,2991.3567318677456,False
2019-02-27,2641.27,2553.32,2984.408138604147,False
2019-02-28,481.17,2622.058571428571,2920.657439923579,False
2019-03-01,569.65,2086.128571428572,2901.0437148690053,False
2019-03-02,1826.12,2253.3485714285716,2837.8902185921424,False
2019-03-03,4631.83,2744.2599999999998,2920.410692020331,False
2019-03-04,2122.13,2958.4328571428573,2791.0172551879973,False
2019-03-05,4056.6,2332.6814285714286,1591.1482789736963,False
2019-03-06,0.0,1955.357142857143,1804.6272698604037,False
2019-03-07,5394.81,2657.305714285714,2071.535788755589,False
2019-03-08,3283.86,3045.05,1858.7364712979982,False
2019-03-09,0.0,2784.175714285714,2161.772383384038,False
2019-03-10,7857.66,3245.0085714285715,2854.2193038752794,False
2019-03-11,293.24,2983.7385714285715,3051.055946457601,False
2019-03-12,2455.49,2755.0085714285715,3017.047324468238,False
2019-03-13,3244.37,3218.4900000000002,2761.67655857814,False
2019-03-14,435.05,2509.952857142857,2746.456498737445,False
2019-03-15,12009.08,3756.412857142857,4546.371928727764,False
2019-03-16,5241.72,4505.2300000000005,4246.31990173452,False
2019-03-17,2623.59,3757.5057142857145,4011.9724404954773,False
2019-03-18,0.0,3715.6142857142854,4055.4688424186625,False
2019-03-19,1108.67,3523.2114285714283,4155.921046496706,False
2019-03-20,2356.19,3396.3285714285716,4179.345445654652,False
2019-03-21,0.0,3334.178571428572,4233.603838234546,False
2019-03-22,2201.9,1933.152857142857,1817.8942652577869,False
2019-03-23,10459.13,2678.497142857143,3598.271351865663,False
2019-03-24,4147.929999999999,2896.2599999999998,3640.2750313586657,False
2019-03-25,3352.45,3375.181428571428,3408.9060075261123,False
2019-03-26,3997.2,3787.828571428571,3260.4123053351627,False
2019-03-27,3413.46,3938.867142857143,3207.0912231684038,False
2019-03-28,5238.219999999999,4687.184285714285,2706.9785843436653,False
2019-03-29,2365.4,4710.541428571429,2682.5554897114334,False
2019-03-30,273.16,3255.402857142857,1581.070801542574,False
2019-03-31,1235.7,2839.3699999999994,1686.6989871639819,False
2019-04-01,2783.62,2758.108571428572,1671.4940361587558,False
2019-04-02,5937.38,3035.277142857143,2032.97877537465,False
2019-04-03,8643.84,3782.4742857142855,2949.6566541370944,False
2019-04-04,691.14,3132.8914285714286,3073.7136368212564,False
2019-04-05,0.0,2794.977142857143,3294.2615835708125,False
2019-04-06,5207.38,3499.865714285714,3191.003155805695,False
